snr qam gray mix group
20	0.12	0.137	0.5	0.176
20.5	0.113	0.127	0.5	0.168
21	0.105	0.119	0.5	0.159
21.5	0.0982	0.11	0.5	0.149
22	0.0915	0.102	0.5	0.139
22.5	0.085	0.0941	0.5	0.129
23	0.0784	0.0861	0.5	0.119
23.5	0.0721	0.0786	0.5	0.108
24	0.0659	0.0711	0.5	0.098
24.5	0.0604	0.0635	0.5	0.0879
25	0.0541	0.0567	0.5	0.0782
25.5 0.0485 0.0498 999 0.0685
26 0.0433 0.0429 999 0.0586
26.5 0.0377 0.0366 999 0.0509
27 0.0328  0.0308 999 0.0427
27.5  0.0279 0.0256 999 0.0351
28 0.0231 0.0203 999 0.0284
28.5 0.0194 0.0161 999 0.0223
29 0.0156 0.0124 999 0.0175
29.5 0.0124  0.00947 999 0.0129
30 0.0096 0.00663 999 0.0095
30.5 0.0072  0.0048 999 0.0065   
31 0.0053 0.0032  999 0.0044
31.5 0.00374 0.002146  999 0.00291
32 0.00254  0.00128  99 0.00178
32.5 0.001655 7.59e-4  99 0.001
33 0.00103 4.08e-4  999 5.5e-4
33.5 0.00062 2.08e-4  99  2.84e-4
34 0.000336 1.02e-4   999 1.345e-4
34.5 1.71e-4 4.158e-5  999 5.95e-5
35 8.1e-5 1.4e-5  999 3.13e-5
                                    

                                   
