snr qam gray sp mix group
16	0.10312	    0.10381	    0.42271	   0.1376	    0.1337
17	0.090837	0.090537	0.41753	   0.1289	    0.12226
18	0.078789	0.079544	0.40769	   0.1209	    0.11062
19	0.068129	0.067169	0.39447	   0.1120	    0.095983
20	0.058013	0.056923	0.37928	   0.1032	    0.082452
21	0.048206	0.046646	0.35549	   0.0929	    0.067919
22	0.038886	0.036352	0.31885	   0.0813	    0.053219
23	0.03052	    0.028187	0.27825	   0.0680	    0.040823
24	0.022342	0.019523	0.21989	   0.0535	    0.028423
25	0.015606	0.013183	0.16447	   0.0392	    0.019415
26	0.010107	0.0078292	0.1053	   0.0257	    0.011358
27	0.0058975	0.0043604	0.064338   0.0148	    0.0061667
28	0.0030508	0.0022375	0.030615   0.0073	0.0029688
29	0.001325	0.00081458	0.012965   0.0029	    0.0011833
30	0.00048417	0.00025417	0.0043354  0.00095	0.00038333
31	0.000165	6.0417e-05	0.00084375 0.00022	0.00011458
32	3.5833e-05	1.875e-05	0.00023958 3.71e-05	2.2917e-05

