D1     D2    t  X1  X2
0.33048 0.20748 0 0 0
0.3573 0.1994 0.001001 0 0
0.38385 0.19083 0.002002 0 0
0.40812 0.18151 0.003003 0 0
0.42826 0.17151 0.004004 0 0
0.44278 0.16126 0.005005 0 0
0.45068 0.15145 0.006006 0 0
0.45162 0.1429 0.007007 0 0
0.44588 0.13647 0.008008 0 0
0.4344 0.13289 0.009009 0 0
0.41868 0.13267 0.01001 0 0
0.40057 0.136 0.011011 0 0
0.38217 0.1427 0.012012 0 0
0.36558 0.15226 0.013013 0 0
0.35268 0.16385 0.014014 0 0
0.345 0.17646 0.015015 0 0
0.34355 0.18902 0.016016 0 0
0.34874 0.2005 0.017017 0 0
0.36036 0.21011 0.018018 0 0
0.37762 0.21733 0.019019 0 0
0.39919 0.22204 0.02002 0 0
0.42341 0.22453 0.021021 0 0
0.44836 0.22544 0.022022 0 0
0.4721 0.2257 0.023023 0 0
0.49277 0.22644 0.024024 0 0
0.50879 0.22879 0.025025 0 0
0.51892 0.23378 0.026026 0 0
0.5224 0.24219 0.027027 0 0
0.51891 0.25446 0.028028 0 0
0.50862 0.2706 0.029029 0 0
0.49209 0.29019 0.03003 0 0
0.47025 0.31242 0.031031 0 0
0.44428 0.33615 0.032032 0 0
0.41548 0.36008 0.033033 0 0
0.38521 0.3828 0.034034 0 0
0.35476 0.40302 0.035035 0 0
0.3253 0.41964 0.036036 0 0
0.29781 0.43184 0.037037 0 0
0.27304 0.43922 0.038038 0 0
0.25152 0.44172 0.039039 0 0
0.23353 0.43968 0.04004 0 0
0.21922 0.43375 0.041041 0 0
0.20853 0.42481 0.042042 0 0
0.20135 0.41388 0.043043 0 0
0.19749 0.40203 0.044044 0 0
0.19673 0.39026 0.045045 0 0
0.19889 0.37946 0.046046 0 0
0.20379 0.37037 0.047047 0 0
0.21128 0.36352 0.048048 0 0
0.22122 0.35927 0.049049 0 0
0.23342 0.35779 0.05005 0 0
0.24767 0.35914 0.051051 0 0
0.26365 0.36325 0.052052 0 0
0.28093 0.36998 0.053053 0 0
0.29894 0.37912 0.054054 0 0
0.31699 0.39041 0.055055 0 0
0.33428 0.40351 0.056056 0 0
0.34991 0.41803 0.057057 0 0
0.363 0.43346 0.058058 0 0
0.3727 0.44922 0.059059 0 0
0.37831 0.46461 0.06006 0 0
0.37932 0.47887 0.061061 0 0
0.3755 0.4912 0.062062 0 0
0.36692 0.5008 0.063063 0 0
0.35397 0.50693 0.064064 0 0
